review_id,username,review_text,score_text,res_id
10,Nấm Nấm,"Mình đi ăn chỗ này 2 lần, lần đầu thì ok, lần sau thì xảy ra chút chuyện khiến mình rất không vui.
Quán này bán món chay mấy năm nay rồi, đi ngang hoài mà chưa có dịp ghé, hôm bữa ghé ăn, cả 2 lần món ăn đều ok, tuy nhiên có những món nêm rất là đậm, rất là mặn, mình nghĩ món chay thì thì hương vị nhẹ nhàng thôi. Tiếp là quán không quá đông nhưng món ăn lên cực kỳ chậm, đợi rất lâu mới có món. Đường một chiều nữa hơi khó đi.
Lần đầu đi không sao, lần thứ 2 đi thì máy lạnh khu vực mình ngồi hình như không hoạt động, khá là nóng, bàn kế bên cũng nóng, thấy vậy nên mình nói nhân viên, nhân viên bảo là mở rồi, xong đi một nước. Mình ngồi đợi một hồi thấy nóng quá nói lần nữa, một nhân viên khác mới nói máy lạnh hư rồi, xong xoay cây quạt về phía bàn mình đang ngồi. Ngồi được tầm 10 phút mát thì bàn khác than nóng, nhân viên khác lại xoay cây quạt về phía bàn đó. Làm bàn mình và một bàn khác khá là nóng, ăn không ngon miệng nữa. Một hồi mình mới phát hiện đó là bàn của chủ quán (mình đoán vậy tại thấy ra lệnh, chỉ trỏ cho nhân viên nhiều) '_' Buôn bán gì mà không nhường khách giành cây quạt cho bằng được trong khi có mỗi chủ với cháu chủ chạy lăn tăn chứ không ngồi yên, còn khúc mình ngồi tới 5 người ~~
Hận quá thôi tạ từ :(",3.8,1
11,Tran Bao,"Nhà mình hay ăn chay nên đến dùng thử ở nhà hàng này.
- Không gian thanh tịnh, nhạc Phật nhẹ nhàng, khá đông vào buổi tối.
- Về thức ăn: ổn, nêm nếm vừa chỉ có mình kêu lẩu thái nhưng vị nêm khá chua, nghe mùi xả hơi nhiều.
- Vì khách đông nên nhân viên có hơi chậm, nhưng thái độ phục vụ tốt 👍",7.0,1
12,Lá Bối,"Nước ép từ dao động khoảng 30k, chất lượng ok. Các món chính khoảng 50k cho một người, vừa phải không quá đặc sắc.",8.0,1
13,Hani Nguyen,"Ngày rằm đưa mami đến đây ăn, mình ăn cơm chay lá sen, bánh xèo củ hủ dừa, và gỏi. Món ăn vừa miệng. Giá cả tương đối rẻ. Bánh xèo có nấm với củ hũ ăn kèm nhìu loại rau rừng. Gỏi chua chua ngọt ngọt rất vừa miệng. Có rất nhiều vị tăng ni đến dùng bữa ^^",7.2,1
14,Hồng Hân,"Gia đình mình thỉnh thoảng hay ăn ở đây vào các ngày rằm, thích không gian yên tĩnh ở đây, nhạc Phật nhẹ và đặc biệt không ồn ào.
Nhân viên cực kì chu đáo và thân thiện nhé. 👍
Giá cả thì cao nhưng chắc phù hợp vì có phòng lạnh mà, và món ăn cũng phong phú, lạ, ngon
Không gian cũng rộng rãi nữa.
Giá tầm 35k/ 1 món ăn trở lên.
Gia đình mình là fan trung thành ở đây, chắc chắn sẽ quay lại nữa. 😊",9.6,1
15,Bông Kệu,"Nay mồng 1 ăn chút đồ chay cho thanh tịnh nhé :) :) :) . Chả hiểu sao đang ăn đồ mặn mà chuyển sang đồ chay mình thấy khá hợp khẩu vị mà trong khi đó mình khá kén ăn :3 :3 :3 . Quán nhỏ nhỏ thôi nên hơi chật nếu khách đến đông nếu muốn có một chỗ ngồi thoải mái thì nên đặt chỗ trước khi đến . Đồ ăn không dầu mỡ nên rất dễ ăn ,mềm và không bị ngán mình khá thích món miến xào ăn dai cũng không phải mà mềm nhũn cũng không phải. Nói chung rất hài lòng",7.0,1
16,QuynhTram Do,"Hôm nay mùng 1 nên cả nhà vào quán ăn buffet. Các món ăn đa dạng, ngon và vừa miệng lắm ạ. Rất thích cơm chiên, bánh xèo, cá cơm chiên giòn, bún (miến) áp chảo, pasta. Không gian hơi nhỏ nên muốn có chỗ ngồi ưng ý thì nên đặt trước ^^~
Giá vé là 170k/người.",8.4,1
17,Black Bean,"Ngay đường Đào Duy Anh rẽ qua Hồ Văn Huê, ngay góc quán khá nhỏ thấy đông và mới biết nên ghé thử, mùi vị cũng okie quán cũng ấm cúng nhưng mình thấy k hợp với mình vì hơi nhỏ khách đông nên hơi ồn, order 30 phút món mới ra phần đồ ăn thì hơi ít haha ngồi ăn không thấy thoải mái (chắc mình già không rồi thích yên tĩnh :)) ở đây cũng đa dạng món menu dày cui ai muốn thử khẩu vị thì trải nghiệm mỗi người mỗi cảm giác mỗi nhu cầu ngoài ra rằm 30 mồng 1 cũng có buffet thì phai, mình đây là lần đầu kakaka",6.2,1
18,Hà Trần,"Tối qua mới ghé ăn, đây là lần thứ 2 mình ghé lại. Về món ăn: đa dạng, nêm nếm rất vừa miệng, chỉ có món đậu hủ tứ xuyên không được hài lòng lắm vì sốt cà và gừng ăn hơi ngộ ngộ không ngon, các món còn lại hqua ăn mình đều thấy ngon, canh chua rất ngon. Phục vụ nhanh, món ra 1 lượt, k có tính tiền trà đá, rong biển ăn chơi 10k cũng phải chăng. Giá cả thì k mắc cũng k rẻ, giữ xe free",7.6,1
19,Hong Truong,"Cơm chay Hương Sen lâu rồi mình ghé lại vẫn là món bánh xèo rất ngon... gỏi cuốn diếp cuốn với tương chấm đậm đà. Gỏi gia vị ngon nhưng hơi mặn. NVPV giới thiệu món đặc biệt tên Hương Sen, gọi thử trang trí dĩa rất bắt mắt nhưng không thích lắm vì ngán bột. Nói chung là có một bữa ăn chay như thế cũng thật là vui.",6.6,1
20,Ha Ha,Buffet chay cho ngày rằm mồng 1 và 15. Lâu lâu thèm đồ chay ghé đây ngày rằm tha hồ ăn. Giá cho một người 160k. Rất nhiều món ngon. Khoái món gỏi và bánh hỏi thịt nướng rất ngon. Chè thâng ( chè bà ba ) ăn rất vừa miệng. K quá ngọt. Không gian vừa. Ấm cúng. Thấy rất nhiều sư thầy ăn ở đây. Có nhận đặt tiệc chay cho 10 người.,8.0,1
21,Huyentrangellie Lê,"ngày 15 có buffet chay,tưởng rẻ ai dè 160k/nguoi,mình thì ăn ít lại thêm đồ ăn toàn bột,gia vị thì vừa ăn,tạm ổn,nhưng giá vậy là quá đắt so với phần 1 ng ăn",5.6,1
22,Phượng Lê,"Bữa đi vào ngày rằm nên có buffet chay thay vì gọi món như thông thường
Giá cho ng lớn là 160k, trẻ em là 70k Tổ chức vào mùng 1 va rằm 15 nha
Thấy ghi là có 60 món nhưng nhìn chắc hok tới, đa số là mấy món nhiều bột nên ăn xíu là ngán và no liền hà
Không gian cũng k quá rộng nếu như k muốn nói là chật Khách vô mấy lượt là k còn bàn rồi 
Món đc cái châm thêm liên tục, nêm nếm cũng vừa ăn chứ k phải là quá ngon
Có nước sâm, trà đá, nước ngọt bỏ trong chai lớn cho khách uống nha Tự phục vụ hết
Nhân viên vui vẻ, dọn dĩa cũng nhanh 
Nói chung lỡ vô rồi nên ăn chứ giá vậy là mắc so với chất lượng",6.2,1
23,Ý Nhi Ngô,"Ấn tượng với quán ngay từ lần đầu đến ăn. Thức ăn ngon, bày trí đẹp, quán có máy lạnh, chỗ ngồi ổn. Tuy nhiên giá hơi cao. Nhưng có thể chấp nhận được so với chất lượng thức ăn. Rất thích món bánh hỏi thịt nướng, vị rất ngon, rất giống đồ mặn :P. Đã đến được vài lần và giới thiệu bạn bè.",7.0,1
24,Duy Trang Tran,"Được bạn mời ăn ở quán chay này. Lần đầu đi nhìn không gian ấm cúng nhưng quán quá nhỏ. Hôm đó không phải ngày rằm mà quán rất đông phải ngồi đợi 30p. Gọi món lên rất lâu nhưng được cái đồ ăn rất ngon, lạ miệng. Là quán chay nhưng rất đa dạng về món có món bánh xèo và món chả giò ngon.",6.2,1
25,So1vn Anh Tu,"Cơm Chay Hương Sen đã chuyển đến 143 Hồ Văn Huê rồi nha các bạn. đọc ttin ở đây tìm ko được đ/c phải hỏi 1080. Mình có thử ra bếp thấy nguyên liệu chuẩn bị rất sạch sẽ. Buổi sáng ở đây có bán bành mì chay rất ngon. Hôm rồi mua cho mấy chị làm chung, mấy chị ko biết bmì chay nữa đó, giá cũng bình dân , có 13n thôi. Thức ăn và giá tiền thì để các bạn tự đánh giá. Riêng mình thì thấy vừa miệng giá phù hợp tầm nhà hàng như vậy.",7.6,1
26,Ngo Thien,"Kêu tô bún mắm chỉ lấy tôm, tôm lạt nhách ko tươi. Tính tiền 70k mắc dã man luôn. Ko bao giờ ăn nữa",2.4,2
27,Chú Rừng Xanh,"Tô bún mắm topping khá nhiều nhưng không tưoi. Nước khá tanh và lạt lẽo. Quán không đông. Phục vụ OK. Giá thì quâ mẮc, 70k tô thường",4.4,2
28,Hữu Trang Trần,"Ăn xong đau bụng nằm lê lết trong***3 tiếng trời . Nước lèo mặn . Tô 70k cũng nhiều đồ ăn nhưng k ngon , từ sau k dám ăn nữa chấm hết",3.8,2
29,Anh Minh,Quá thơm ngon chất lượng giá ok lắm nha .,7.4,2
30,Kim Khuyến,"Vị trí : có rất nhiều chi nhánh nè, xem chi nhánh nào gần thì đi nha.
Giá cả: tô như hình là tô thường 50k thôi
Chất lượng: nước súp rất hợp khẩu vị với mình, 1 tô thường rất nhiều topping chấm kèm nước me rất ngon. 1 tô như vậy mình ăn cảm thấy no.
Nhân viên: mình đi vào những lúc vắng nên món ăn lên nhanh
Không gian: cũng k rộng lắm, có quạt
Sẽ tiếp tục ủng hộ !",6.6,2
31,Loan NguyễN,"👍👍👍
- Nước súp đậm đà và thơm
- Topping đa dạng

👎👎👎
- Chả cá nhiều nhưng không được ngon lắm",7.2,2
32,Mr Trung Cao,Có lẽ quán này là quán nhỏ nhất trong hệ thống Cô Ba. Hương vị thì vẫn khá ngon như những quán khác nhưng quán nhỏ nên không gian không được thoáng lắm,7.6,2
33,Minh Anh Trần,"Nước dùng cũng đc nhưng thiếu xả, đồ ăn cũng tương đối nhưng k ngon, 1 con tôm, 1 miếng mực, 1 miếng chả cá to( mih k ăn heo quay) nhạt nhách, chả cá dồn ớt là cá saba, 1 miếng cá lóc, rau ( quá) nhiều, ăn 1 tô là ngán luôn, 45k 1 tô",4.4,2
34,Trọng Duy,"Nước dùng hơi mặn. Miếng thịt heo quay to nhưng nhiều mỡ, nên hơi ngấy.",6.8,2
35,Lê Hồ,"Mình là người rất kị với mùi mắm, các món lẩu mắm hay bún mắm mình rất kén và khó ăn nhưng bún mắm Cô Ba là một ngoại lệ ^_^!! Quán nằm trên đường Lê Trọng Tấn gần với khúc giao nhau giữa đường Lê Trọng Tấn và Tân Kỳ Tân Quý, có tấm bảng hiệu chà bá nên rất dễ tìm. Quán khá sạch sẽ và thoáng đãng, giữ xe miễn phí, nhân viên phục vụ nhanh. Một tô bún thường giá 40k, tô đặc biệt giá 50k, giá cũng giống với mặt bằng chung trong thành phố. Trong tô có các thứ: một miếng cà tím, hai miếng chả cá dai dai, một miếng mực tươi giòn, một con tôm lột vỏ để đuôi, một miếng heo quay da vẫn còn giòn. Rau ăn kèm phong phú trông rất ngon mắt: giá, bông súng, bắp chuối, rau đắng...Nước dùng cay, đậm đà, không quá nồng mùi mắm kèm chén mắm me chua chua ngọt ngọt. Theo mình một tô như vậy là hơi bị nhiều, mình ăn xong no đến lắc lư luôn. Quán còn bán cả bún đầu cá lóc với 50k một tô, lần sau mình sẽ ghé dùng thử.",6.4,2
36,Try Try,"Quán cô ba khá nổi tiếng. Bún mắm ở đây đậm đà, đậm chất Sóc Trăng. Nhìn tô rất hấp dẫn, miếng thịt heo quay bự, tôm cũng to, mực cũng lớn. ^.^' bún mắm ở đây lạ là có thêm chả cá với ớt đà lạt dồn thịt.

Rau xanh ở đây cho nhiều lắm. Ăn thoải mái lun nà ^.^ 1 tô 35k, nước mía 6k, trà đá 2k, à có hũ rau câu 5k. Quán hơi xa, gần chắc mình ăn thường xuyên quá.",7.4,2
37,Thanh Tuyền,"Mua từ app nhiều lần,
Đến tận nơi mua về.
Maf bánh chẳng nóng/giòn như từ luac mới biết đến bánh mù Hoàng Lam. Giờ mua ổ bánh mỳ chẳng khác nào ra mua bánh mỳ nguội, kèm với thịt nguội và chà bông ba tê kèm bơ. Chẳng những vậy mà rau kèm theo cũng tuỳ hứng, không đồng đều. Bán kiểu đã có thương hiệu rồi không cần khách hành nữa.",3.8,3
38,Thiên Duyên,"ẨM THỰC CHAY HƯƠNG SEN.
ĐIỂM 10 CHO CHẤT LƯỢNG !
Đây là điểm ăn chay Ngon _ Bổ _ Rẻ. Đặc biệt có bán online với dịch vụ Grap giao hàng tới tận nơi trong nội thành Thành Phố***- đây là điều thuận lợi trong đại dịch Covid-19 này, khi mọi người muốn tránh nơi đông người để đảm bảo an toàn cho chính mình.
Khuôn viên quán sạch sẽ, hợp vệ sinh, có chỗ đậu xe, nhân viên vui vẻ nhiệt tình. Đặc biệt thức ăn ở đây khá đa dạng phong phú, thực đơn có nhiều món cho thực khách tha hồ lựa chọn.
Giá cả lại phải chăng, bình dân và hợp túi tiền của mọi người.
Đến ăn 1 lần mọi người sẽ thích, mỗi người sẽ tự có cảm nhận riêng, nhưng tôi nghĩ chắc chắn 1 điều đó sẽ là điều lưu nhớ để dẫn lối mọi người muốn quay lại lần sau. 👍",9.6,4
39,Penny_Chip,Sao sting ko để chai như bình thường mà đổ vô bọc ni long kỳ cục vậy??????,4.4,4
40,Bình,"Các món đều ngon, đặc biệt là cơm chiên rong biển và mì xào giòn.",8.0,4
41,Cristy Tran,"Nhận xét chung về đồ ăn : 
Mình order trên now,khi mới giao thì còn nóng hổi,một hộp rất là nhiều và chất lượng.Về phần cơm chiên rong biển còn có bao gồm 1 canh,1 rau và dưa leo ăn kèm rất chu đáo.Cơm chiên rất thơm nhe. Phần tiếp theo là Hủ tiếu xào,cũng đầy ụ nào nấm nào rau nào chả luôn,sợi hủ tiếu chay bên này là hủ tiếu sa đéc nha. Nói chung cả hai món đều được nêm nếm rất vừa miệng,rất sạch sẽ và chu đáo.

Về giá cả : 
Tổng cộng mình trả cho phần này là 75.000 bao gồm 1 chai nha đam hạt sen nữa,tính ra một phần chỉ chừng 30.000 hơn xíu thôi,so với chất lượng thì vô cùng ổn. 

Có dịp mình sẽ đến quán để trải nghiệm hơn về không gian cũng như phần dịch vụ.",7.4,4
42,Hân,"Đã 2 lần order ở đây, và cảm thấy cực kì hài lòng. Đồ ăn chay nêm nếm rất có tâm. Tất cả các món mì xào giòn, bún măng, cơm chiên rong biển, mì quảng đều rất ngon. Có cơm chiên thì mình không quen với hạt bắp, cảm thấy vị bị ngọt ""lạ"" và át mất mùi rong biển 😝.
Tổng quan là rất ngon và rẻ.",9.6,4
43,Foods Bảo Châu,"Bảo Châu Foods – Chuyên cung cấp Sỉ xúc xích Đức Việt
Khu vực TP.***và các tỉnh lân cận.
Giá trực tiếp từ nhà máy.
Quý khách hàng có nhu cầu xin liên hệ
Tel/Zalo : 081 881 0606 ạ
Rất hân hạnh được phục vụ Quý khách !.",10,5
44,Đình Nông Đình,"⛔Vừa To vừa Rẻ HOTDOG XÚC XÍCH ANH ĐỨC MỸ chỉ từ 20k‼️
———
Nay đi kiếm hotdog ngon rẻ chất lượng mà đặc biệt còn TO nữa để giới thiệu cho mọi người :)) Dù không phải quán xá sang trọng nhưng chất lượng thì không thể coi thường được nha. Mức giá từ 20k - 44k với 4loại Hot Dog: Bò, Gà, Heo, truyền thống. Mình chọn Berlin phô mai trứng (40k) Egg Roll Double Cheese add cheese thêm (35k). Berlin phô mai trứng nôm na là xúc xích bò thêm lát phô mai và trứng cuộn bên ngoài, cái phần to to is, nhức nách luôn nha, xúc xích mập ú, trải thêm lớp phô mai béo ngậy rồi lồng thêm trứng, mayonaise tương các loại xịt lên ăn thề là ngon, mà bị cái này phần to quá, cắn 1 phát ko cắn hết được dính sốt tùm lum chớ ngon hết sảy. Phần còn lại là xúc xích nhân phô mai mình order thêm miếng phô mai bên ngoài nữa, cái này phải nói là siêu béo tới nóc :)) phô mai trong lẫn ngoài cắn sướng tê miệng :)) món này dành cho fan phô maii nha. Giá bánh 30k mà mình add thêm 5k phô mai nữa, chiếc này xúc xích nhỏ hơn nên dễ ăn hơn nè
Thấy để 1h30 quán mở cửa rồi nhen, nhưng mà để thong thả 2h hãy tới :)) mình vừa tới đợi xíu là Now, Baemin, Go Việt xếp đầy luôn :)) mùa dịch hạn chế ra ngoài thì đặt ship nha bà con. Thấy trên Now còn đang được giảm giá nữa đó. 
Túm lại giá rẻ mà ngon, đồ ăn ra cũng nhanh, mang về hay đặt ship có quấn giấy bạc để giữ nóng nữa, best chu đáo nha. 
Menu mình để cuối bài nha
———
Đánh giá: 4/5🌟
📍Hamada Hotdog, 95***p7 q11
📍18C***P13 q3
⏰8H - 22H 
💸20k - 44k
———-
Follow @lanwiththi for more",8.8,5
45,Hiếu Đỗ,"Ăn trưa tại nhà hàng Việt Nam . Món ăn ngon đươc chế tác theo kiểu fusion khá cầu kỳ đẹp mắt. Không gian đẹp,nhẹ nhàng và ấm áp. Nhưng phục vụ chưa chuẩn fine dining . Cơm chiên hải sản thì dùng tôm đông lạnh . Cần thay bằng tôm tươi.",7.6,6
46,Herin Hồ,"Quán này là một trong những quán tủ của công ty mình. Mà mỗi lần đến đây là lại gọi đúng những món cũ, ngồi đúng vị trí cũ. Lần trước mình đến đây, còn có quản lý ra hỏi han mọi người ăn uống thế nào, nhân viên lịch sự lúc đặt món lên bàn và giải thích kỹ lưỡng. Lần này thì không thấy quản lý đâu, nhân viên trông cũng lạnh lùng hơn, khách gọi mà bơ vài lần mới quay qua trả lời. Nói chung là bỏ ra nhiều tiền để tận hưởng dịch cụ chứ có phải mỗi nhét đồ ăn vào miệng đâu, nên tâm trạng chả vui tẹo nào.",7.4,6
47,Amy Tran,"Thuộc tập đoàn WMC như một số nhà hàng sang trọng khác như Ngân Đình, Kissho, Amigo Hữu Nghị
Không gian sang trọng, lãng mạn.
Món ăn ngon. Bò lá lốt thơm và sốt chấm vừa miệng. Gỏi cua đồng giòn rụm, vị dịu nhẹ. Cá bông lau nướng thịt tươi và mềm. Thích nhất cơm chiên lá cẩm hải sản, hạt cơm nhỏ, tơi và giòn, ăn hết thố cơm vẫn còn thích! 
Giá cao.
Dịch vụ tốt. Nhân viên khá chuyên nghiệp. 
Vị trí trung tâm, thuận tiện.",9.0,6
48,Katherine Phanhuynh,"Không gian : yên tĩnh , khá đẹp .
Thức ăn : ở đây có cả món Âu lẫn Việt nhé. 
 Cuốn tôm và trứng cá hồi . Vị thì cũng giống như cuốn VN , sốt chấm đặc và đậm đà 
 Canh chua : cá , tôm xắc thành viên nhỏ . Nước dùng khá ngon , thơm . Tuy nhiên lại dùng tôm đông lạnh, nên dùng tôm tươi có vẻ ăn sẽ ko cảm thấy nhạt nhẽo . 
 Gỏi vịt : gỏi trộn đều vị , thịt vịt không quá dai . Món này cũng không gì đặc biệt.
 Sườn heo Úc sốt ....( mình ko nhớ) : sườn cọng to , mềm thịt , gia vị thấm . Sốt sệt và có vị kem . Ăn khá ngon không ngán nhen . 
 Cơm : tơi , mềm , có những hạt cơm cháy trộn kèm . Cũng ok 

Nhân viên : lịch sự , chu đáo, chuyên nghiệp . Tuy nhiên mỗi bạn nên trực một bàn vì mỗi lần muốn order gì thêm thì phải ngó tới lui hơi bất tiện.",7.2,6
49,Phuong Thi Nguyen,"Nhà hàng món Việt chế biến món ăn vị Tây để người nước ngoài dễ ăn . Nghe nói Đầu bếp là Việt Kiều . 
Khi đi ăn mình ngồi kế 2 người nước ngoài, chị ấy kêu 1 ly nước gì đó không rõ , do nó chua quá nên kêu nv đổi cho Ly khác . Nv đem ra ly mới và lúc tính tiền tính luôn cả 2 ly )) chị ấy mới ngớ người nhìn bill và nói với người bạn chị ấy , chỉ biết cười trừ )) . Đây là điểm rất không chuyên nghiệp của một nhà hàng cũng khá nổi tiếng trong việc làm hài lòng khách hàng . 
Một điểm nữa là dao và nĩa không được bỏ trên cái khay hay cái gì đó mà đặt thẳng xuống bàn ăn , chỉ mỗi đôi đũa được đặt trên cái khăn . Khi khách đi nv cũng ko ra dọn dẹp liền và set up , một lúc sau mới ra. Phong cách thấy không chuyên nghiệp tẹo nào :)) 
Về món ăn cũng ok . Món Gỏi xoài cua lột ngon , bò lúc lắc được cho là món best của nhà hàng nhưng mình ăn thấy cũng bth, được cái bò ăn mềm ko dai, Món Vịt khoai tây ghiền cũng bth luôn . 
Xin hết ạ",6.2,6
50,Châu Đào Ngọc,"Hoang hảo từ không gian đến món ăn, dịch vụ. Nhưng giá cả lại ko quá cao
Chung hệ thống của WMC, công nhận mấy nhà hàng trong hệ thống này đồ ăn chỗ nào cũng ok, ko gian đẹp lung linhc mỗi chỗ coa đăc sắc riêng nhưng giá cả lại rất cạnh tranh so với những nơi sang chảnh khác.
Mấy e phục vụ hơi bị nhiệt tình luôn
Khuyên ăn thử món bò lúc lắc khoai nghiền: bò mềm ướp rất ngon, cục bự chọi bể đầu ăn rất đã. Gà ta nướng cũng ngon. Cơm lá cẩm hải sản ngon nốt, bánh flan ngon và lava chocolate ngon lun nha. Quâ xuất sắc. Đi 6 người ăn 2 khai vị, 2 phần cơm, 2 món chính và 3 tráng miệng, 3 nước suối khoảng dứoi 2tr5, mỗi người tầm ko đến 500k nha
Sẽ còn ghé lại nữa",9.4,6
